,ufo_sightings,bigfoot_sightings
1921-12-31,,1
1922-12-31,,0
1923-12-31,,0
1924-12-31,,0
1925-12-31,,0
1926-12-31,,1
1927-12-31,,0
1928-12-31,,0
1929-12-31,,0
1930-12-31,,0
1931-12-31,,0
1932-12-31,,1
1933-12-31,,0
1934-12-31,,0
1935-12-31,,0
1936-12-31,,0
1937-12-31,,1
1938-12-31,,0
1939-12-31,,0
1940-12-31,,0
1941-12-31,,0
1942-12-31,,0
1943-12-31,,2
1944-12-31,,2
1945-12-31,,0
1946-12-31,,0
1947-12-31,,0
1948-12-31,,0
1949-12-31,,2
1950-12-31,,2
1951-12-31,,0
1952-12-31,,0
1953-12-31,32.0,3
1954-12-31,61.0,0
1955-12-31,43.0,3
1956-12-31,57.0,4
1957-12-31,83.0,3
1958-12-31,63.0,5
1959-12-31,66.0,1
1960-12-31,80.0,6
1961-12-31,57.0,7
1962-12-31,80.0,6
1963-12-31,98.0,18
1964-12-31,113.0,12
1965-12-31,222.0,10
1966-12-31,229.0,8
1967-12-31,232.0,17
1968-12-31,255.0,20
1969-12-31,180.0,22
1970-12-31,172.0,35
1971-12-31,135.0,22
1972-12-31,196.0,37
1973-12-31,276.0,37
1974-12-31,310.0,41
1975-12-31,355.0,59
1976-12-31,329.0,49
1977-12-31,326.0,86
1978-12-31,377.0,91
1979-12-31,282.0,62
1980-12-31,283.0,84
1981-12-31,200.0,52
1982-12-31,215.0,63
1983-12-31,198.0,57
1984-12-31,199.0,50
1985-12-31,246.0,53
1986-12-31,208.0,59
1987-12-31,246.0,50
1988-12-31,265.0,46
1989-12-31,291.0,46
1990-12-31,280.0,47
1991-12-31,259.0,56
1992-12-31,294.0,46
1993-12-31,333.0,70
1994-12-31,466.0,68
1995-12-31,1407.0,69
1996-12-31,903.0,86
1997-12-31,1320.0,110
1998-12-31,1795.0,126
1999-12-31,2819.0,84
2000-12-31,2707.0,189
2001-12-31,2995.0,163
2002-12-31,3010.0,129
2003-12-31,3551.0,146
2004-12-31,3910.0,174
2005-12-31,3836.0,169
2006-12-31,3510.0,173
2007-12-31,4121.0,123
2008-12-31,4747.0,148
2009-12-31,4328.0,130
2010-12-31,4278.0,118
2011-12-31,5219.0,142
2012-12-31,7488.0,195
2013-12-31,7177.0,144
2014-12-31,8176.0,126
2015-12-31,6579.0,88
2016-12-31,5430.0,67
2017-12-31,4838.0,60
2018-12-31,3324.0,55
2019-12-31,6011.0,40
2020-12-31,6851.0,63
2021-12-31,3364.0,48
2022-12-31,4332.0,31
2023-12-31,858.0,3
